year,kt,party,id_kt,others_name,ap_i,vote,ap_s,seats,kname,s
1995,ZG,cvp,ZG1995,,,27.10000038146973,0,,Zug,1
1999,ZG,cvp,ZG1999,,,26.39999961853027,0,,Zug,1
2003,ZG,cvp,ZG2003,,,22.89584159851074,0,,Zug,1
2007,ZG,cvp,ZG2007,,,23.29999923706055,0,,Zug,1
2011,ZG,cvp,ZG2011,,ZG11B,24.29999923706055,0,,Zug,1
1995,ZH,cvp,ZH1995,,ZH95B,4.900000095367432,1,,Zürich,2
1999,ZH,cvp,ZH1999,,ZH99B,5.099999904632568,0,,Zürich,2
2003,ZH,cvp,ZH2003,,ZH03B,5.43002986907959,0,,Zürich,2
2007,ZH,cvp,ZH2007,,ZH07C,7.599999904632568,1,,Zürich,3
2011,ZH,cvp,ZH2011,,ZH11C,5,0,,Zürich,2
1995,AG,edu,AG1995,,AG95C,1.299999952316284,0,,Aargau,0
1999,AG,edu,AG1999,,AG99C,1.399999976158142,0,,Aargau,0
2003,AG,edu,AG2003,,,0,0,,Aargau,0
2007,AG,edu,AG2007,,AG07D,1.200000047683716,0,,Aargau,0
2011,AG,edu,AG2011,,AG11A,1.200000047683716,0,,Aargau,0
1995,AI,edu,AI1995,,,0,0,,Appenzell I. Rh. ,0
1999,AI,edu,AI1999,,,0,0,,Appenzell I. Rh. ,0
2003,AI,edu,AI2003,,,0,0,,Appenzell I. Rh. ,0
2007,AI,edu,AI2007,,,0,0,,Appenzell I. Rh. ,0
2011,AI,edu,AI2011,,,0,0,,Appenzell I. Rh. ,0
1995,AR,edu,AR1995,,,0,0,,Appenzell A. Rh.,0
1999,AR,edu,AR1999,,,0,0,,Appenzell A. Rh.,0
2003,AR,edu,AR2003,,,0,0,,Appenzell A. Rh.,0
2007,AR,edu,AR2007,,,0,0,,Appenzell A. Rh.,0
2011,AR,edu,AR2011,,,0,0,,Appenzell A. Rh.,0
1995,BE,edu,BE1995,,,4.199999809265137,0,,Bern,1
1999,BE,edu,BE1999,,BE99F,4,0,,Bern,1
2003,BE,edu,BE2003,,,4.107033252716065,0,,Bern,1
2007,BE,edu,BE2007,,,3.599999904632568,0,,Bern,1
2011,BE,edu,BE2011,,,3.099999904632568,0,,Bern,0
1995,BL,edu,BL1995,,BL95B,.6000000238418579,0,,Basel-Landschaft ,0
1999,BL,edu,BL1999,,,0,0,,Basel-Landschaft ,0
2003,BL,edu,BL2003,,,0,0,,Basel-Landschaft ,0
2007,BL,edu,BL2007,,,.5,0,,Basel-Landschaft ,0
2011,BL,edu,BL2011,,,0,0,,Basel-Landschaft ,0
1995,BS,edu,BS1995,,,0,0,,Basel-Stadt,0
1999,BS,edu,BS1999,,,0,0,,Basel-Stadt,0
2003,BS,edu,BS2003,,,.7391131520271301,0,,Basel-Stadt,0
2007,BS,edu,BS2007,,BS07C,.5,0,,Basel-Stadt,0
2011,BS,edu,BS2011,,BS11D,.5,0,,Basel-Stadt,0
1995,FR,edu,FR1995,,,0,0,,Freiburg,0
1999,FR,edu,FR1999,,,0,0,,Freiburg,0
2003,FR,edu,FR2003,,,.7182226181030273,0,,Freiburg,0
2007,FR,edu,FR2007,,FR07C,.8999999761581421,0,,Freiburg,0
2011,FR,edu,FR2011,,FR11C,.699999988079071,0,,Freiburg,0
1995,GE,edu,GE1995,,,0,0,,Genf,0
1999,GE,edu,GE1999,,,0,0,,Genf,0
2003,GE,edu,GE2003,,,0,0,,Genf,0
2007,GE,edu,GE2007,,,0,0,,Genf,0
2011,GE,edu,GE2011,,,0,0,,Genf,0
1995,GL,edu,GL1995,,,0,0,,Glarus,0
1999,GL,edu,GL1999,,,0,0,,Glarus,0
2003,GL,edu,GL2003,,,0,0,,Glarus,0
2007,GL,edu,GL2007,,,0,0,,Glarus,0
2011,GL,edu,GL2011,,,0,0,,Glarus,0
1995,GR,edu,GR1995,,,0,0,,Graubünden,0
1999,GR,edu,GR1999,,,0,0,,Graubünden,0
2003,GR,edu,GR2003,,,1.870463252067566,0,,Graubünden,0
2007,GR,edu,GR2007,,,1.600000023841858,0,,Graubünden,0
2011,GR,edu,GR2011,,GR11B,.5,0,,Graubünden,0
1995,JU,edu,JU1995,,,0,0,,Jura,0
1999,JU,edu,JU1999,,,0,0,,Jura,0
2003,JU,edu,JU2003,,,1.787105441093445,0,,Jura,0
2007,JU,edu,JU2007,,,0,0,,Jura,0
2011,JU,edu,JU2011,,,0,0,,Jura,0
1995,LU,edu,LU1995,,,0,0,,Luzern,0
1999,LU,edu,LU1999,,,0,0,,Luzern,0
2003,LU,edu,LU2003,,,0,0,,Luzern,0
2007,LU,edu,LU2007,,,0,0,,Luzern,0
2011,LU,edu,LU2011,,,0,0,,Luzern,0
1995,NE,edu,NE1995,,,2.299999952316284,0,,Neuenburg,0
1999,NE,edu,NE1999,,,0,0,,Neuenburg,0
2003,NE,edu,NE2003,,,0,0,,Neuenburg,0
2007,NE,edu,NE2007,,,0,0,,Neuenburg,0
2011,NE,edu,NE2011,,,0,0,,Neuenburg,0
1995,NW,edu,NW1995,,,0,0,,Nidwalden,0
1999,NW,edu,NW1999,,,0,0,,Nidwalden,0
2003,NW,edu,NW2003,,,0,0,,Nidwalden,0
2007,NW,edu,NW2007,,,0,0,,Nidwalden,0
2011,NW,edu,NW2011,,,0,0,,Nidwalden,0
1995,OW,edu,OW1995,,,0,0,,Obwalden ,0
1999,OW,edu,OW1999,,,0,0,,Obwalden ,0
2003,OW,edu,OW2003,,,0,0,,Obwalden ,0
2007,OW,edu,OW2007,,,0,0,,Obwalden ,0
2011,OW,edu,OW2011,,,0,0,,Obwalden ,0
1995,SG,edu,SG1995,,,1,0,,St. Gallen,0
1999,SG,edu,SG1999,,SG99D,1,0,,St. Gallen,0
2003,SG,edu,SG2003,,SG03D,1.118661522865295,0,,St. Gallen,0
2007,SG,edu,SG2007,,SG07B,1,0,,St. Gallen,0
2011,SG,edu,SG2011,,SG11B,1.200000047683716,0,,St. Gallen,0
1995,SH,edu,SH1995,,,0,0,,Schaffhausen,0
1999,SH,edu,SH1999,,,0,0,,Schaffhausen,0
2003,SH,edu,SH2003,,,0,0,,Schaffhausen,0
2007,SH,edu,SH2007,,,0,0,,Schaffhausen,0
2011,SH,edu,SH2011,,SH11C,3.799999952316284,0,,Schaffhausen,0
1995,SO,edu,SO1995,,,0,0,,Solothurn,0
1999,SO,edu,SO1999,,,0,0,,Solothurn,0
2003,SO,edu,SO2003,,,0,0,,Solothurn,0
2007,SO,edu,SO2007,,,0,0,,Solothurn,0
2011,SO,edu,SO2011,,SO11A,.5,0,,Solothurn,0
1995,SZ,edu,SZ1995,,,0,0,,Schwyz,0
1999,SZ,edu,SZ1999,,,0,0,,Schwyz,0
2003,SZ,edu,SZ2003,,,0,0,,Schwyz,0
2007,SZ,edu,SZ2007,,,0,0,,Schwyz,0
2011,SZ,edu,SZ2011,,,0,0,,Schwyz,0
1995,TG,edu,TG1995,,,0,0,,Thurgau,0
1999,TG,edu,TG1999,,TG99C,1.899999976158142,0,,Thurgau,0
2003,TG,edu,TG2003,,,1.934745192527771,0,,Thurgau,0
2007,TG,edu,TG2007,,TG07B,2.599999904632568,0,,Thurgau,0
2011,TG,edu,TG2011,,TG11B,3.5,0,,Thurgau,0
1995,TI,edu,TI1995,,,0,0,,Tessin,0
1999,TI,edu,TI1999,,,0,0,,Tessin,0
2003,TI,edu,TI2003,,,0,0,,Tessin,0
2007,TI,edu,TI2007,,,0,0,,Tessin,0
2011,TI,edu,TI2011,,,0,0,,Tessin,0
1995,UR,edu,UR1995,,,0,0,,Uri,0
1999,UR,edu,UR1999,,,0,0,,Uri,0
2003,UR,edu,UR2003,,,0,0,,Uri,0
2007,UR,edu,UR2007,,,0,0,,Uri,0
2011,UR,edu,UR2011,,,0,0,,Uri,0
1995,VD,edu,VD1995,,,2.700000047683716,0,,Waadt,0
1999,VD,edu,VD1999,,,2.700000047683716,0,,Waadt,0
2003,VD,edu,VD2003,,VD03C,1.766690492630005,0,,Waadt,0
2007,VD,edu,VD2007,,VD07B,1.299999952316284,0,,Waadt,0
2011,VD,edu,VD2011,,VD11C,1.100000023841858,0,,Waadt,0
1995,VS,edu,VS1995,,,0,0,,Wallis,0
1999,VS,edu,VS1999,,,0,0,,Wallis,0
2003,VS,edu,VS2003,,,0,0,,Wallis,0
2007,VS,edu,VS2007,,,0,0,,Wallis,0
2011,VS,edu,VS2011,,,0,0,,Wallis,0
1995,ZG,edu,ZG1995,,,0,0,,Zug,0
1999,ZG,edu,ZG1999,,,0,0,,Zug,0
2003,ZG,edu,ZG2003,,,0,0,,Zug,0
2007,ZG,edu,ZG2007,,,0,0,,Zug,0
2011,ZG,edu,ZG2011,,,0,0,,Zug,0
1995,ZH,edu,ZH1995,,ZH95E,1.899999976158142,0,,Zürich,0
1999,ZH,edu,ZH1999,,ZH99E,1.799999952316284,0,,Zürich,0
2003,ZH,edu,ZH2003,,ZH03D,2.061411857604981,1,,Zürich,1
2007,ZH,edu,ZH2007,,ZH07C,2.099999904632568,0,,Zürich,0
